Recency,Frequency,Monetary,Time,Target
2,50,12500,98,Yes
0,13,3250,28,Yes
1,16,4000,35,Yes
2,20,5000,45,Yes
1,24,6000,77,NO
4,4,1000,4,NO
2,7,1750,14,Yes
1,12,3000,35,NO
2,9,2250,22,Yes
5,46,11500,98,Yes
4,23,5750,58,NO
0,3,750,4,NO
2,10,2500,28,Yes
1,13,3250,47,NO
2,6,1500,15,Yes
2,5,1250,11,Yes
2,14,3500,48,Yes
2,15,3750,49,Yes
2,6,1500,15,Yes
2,3,750,4,Yes
2,3,750,4,Yes
4,11,2750,28,NO
2,6,1500,16,Yes
2,6,1500,16,Yes
9,9,2250,16,NO
4,14,3500,40,NO
4,6,1500,14,NO
4,12,3000,34,Yes
4,5,1250,11,Yes
4,8,2000,21,NO
1,14,3500,58,NO
4,10,2500,28,Yes
4,10,2500,28,Yes
4,9,2250,26,Yes
2,16,4000,64,NO
2,8,2000,28,Yes
2,12,3000,47,Yes
4,6,1500,16,Yes
2,14,3500,57,Yes
4,7,1750,22,Yes
2,13,3250,53,Yes
2,5,1250,16,NO
2,5,1250,16,Yes
2,5,1250,16,NO
4,20,5000,69,Yes
4,9,2250,28,Yes
2,9,2250,36,NO
2,11,2750,46,Yes
2,6,1500,22,NO
2,12,3000,52,NO
4,5,1250,14,Yes
4,19,4750,69,Yes
4,8,2000,26,Yes
2,7,1750,28,Yes
2,8,2000,35,Yes
2,10,2500,49,NO
4,5,1250,16,Yes
2,3,750,9,Yes
3,16,4000,74,NO
2,4,1000,14,Yes
4,17,4250,71,Yes
2,2,500,4,NO
2,2,500,4,Yes
2,2,500,4,Yes
2,4,1000,16,Yes
2,2,500,4,NO
2,2,500,4,NO
2,2,500,4,NO
4,6,1500,23,Yes
2,4,1000,16,NO
2,4,1000,16,NO
2,4,1000,16,NO
2,6,1500,28,Yes
2,7,1750,35,Yes
4,2,500,4,Yes
4,2,500,4,NO
4,2,500,4,NO
4,2,500,4,NO
12,11,2750,23,NO
4,7,1750,28,NO
3,17,4250,86,NO
4,9,2250,38,Yes
4,4,1000,14,Yes
5,7,1750,26,Yes
4,8,2000,34,Yes
2,13,3250,76,Yes
2,10,2500,64,NO
4,5,1250,23,Yes
4,9,2250,46,NO
4,5,1250,23,NO
4,8,2000,40,Yes
2,12,3000,82,NO
11,24,6000,64,NO
2,7,1750,46,Yes
4,11,2750,61,NO
1,7,1750,57,NO
2,11,2750,79,Yes
2,3,750,16,Yes
4,5,1250,26,Yes
2,6,1500,41,Yes
2,5,1250,33,Yes
2,4,1000,26,NO
2,5,1250,34,NO
4,8,2000,46,Yes
2,4,1000,26,NO
4,8,2000,48,Yes
2,2,500,10,Yes
4,5,1250,28,NO
